mineral_name,strunz_number
Fluorite,03.AB.25
Vésuvianite,09.BG.35
Vaterite,05.AB.20
Grenat,
Vésuvianite,09.BG.35
Dawsonite,05.BB.10
Hématite,04.CB.05
Magnétite,04.BB.05
Azurite,05.BA.05
Rutile,04.DB.05
Arsénopyrite,02.EB.20
Calcédoine Chrysoprase,
Quartz,04.DA.05
Orpiment,02.FA.30
Réalgar,02.FA.15a
Tourmaline,
Molybdénite,02.EA.30
Azurite,05.BA.05
Dioptase,09.CJ.30
Gypse,
Perovskite,04.CC.30
Bournonite,02.GA.50
Dioptase,09.CJ.30
Linarite,07.BC.65
Cuivre natif,
Skutterudite,02.EC.05
Azurite,05.BA.05
Babingtonite,09.DK.05
Cuprite,04.AA.10
Cassitérite,04.DB.05
Sénégalite,08.DE.05
Calcite,05.AB.05
Libethenite,08.BB.30
Tourmaline,
Rhodochrosite,05.AB.05
Grenat,
Pyrite,02.EB.05a
Pyrite,02.EB.05a
Barytine,
Quartz,04.DA.05
Quartz,04.DA.05
Andradite,09.AD.25
Gypse,
Pseudobrookite,04.CB.15
Muscovite F,
Perovskite,04.CC.30
Fluorapatite,
Calcite,05.AB.05
Azurite,05.BA.05
Diopside,09.DA.15
Millérite,02.CC.20
Anatase,04.DD.05
Pyromorphite,08.BN.05
Pyrargyrite,02.GA.05
Proustite,02.GA.05
Pyrite,02.EB.05a
Inesite,09.DL.05
Quartz,04.DA.05
Fluorite,03.AB.25
Quartz,04.DA.05
Cérusite,
Manganite,04.FD.15
Hübnerite,04.DB.30
Quartz,04.DA.05
Wulfénite,07.GA.05
Apatite,08.BN.05
Dolomite,05.AB.10
Quartz,04.DA.05
Quartz,04.DA.05
Boulangérite et pyrite,
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Quartz,04.DA.05
Barytine,
Azurite,05.BA.05
Tourmaline,
Wulfénite,07.GA.05
Stilbite,09.GE.10
Quartz,04.DA.05
Quartz,04.DA.05
Lazulite,08.BB.40
Quartz,04.DA.05
Quartz,04.DA.05
Apatite,08.BN.05
Quartz,04.DA.05
Quartz,04.DA.05
Quartz,04.DA.05
Malachite,05.BA.10
Quartz,04.DA.05
Barytine,
Wulfénite,07.GA.05
Axinite,09.BD.20
Hübnerite,04.DB.30
Siderite,05.AB.05
Phlogopite,09.EC.20
Epidote,09.BG.05a
Fluorite,03.AB.25
Calcite,05.AB.05
Duftite,08.BH.35
Tétraèdrite,
Cuivre natif,
Duftite,08.BH.35
Béryl,09.CJ.05
Malachite,05.BA.10
Muscovite,09.EC.15
Roselite,08.CG.10
Spinelle,
Colemanite,06.CB.10
Magnétite,04.BB.05
Calcite,05.AB.05
Brochantite,07.BB.25
Galène,
Crandallite,08.BL.10
Azurite,05.BA.05
Quartz,04.DA.05
Aragonite,05.AB.15
Quartz,04.DA.05
Chlorite,
Barytine,
Quartz,04.DA.05
Quartz,04.DA.05
Natrolite,09.GA.05
Pyrite,02.EB.05a
Quartz,04.DA.05
Stilbite,09.GE.10
Quartz,04.DA.05
Quartz,04.DA.05
Dolomite,05.AB.10
Célestine,07.AD.35
Sidérite,05.AB.05
Ilvaïte,09.BE.07
Rutile,04.DB.05
Quartz,04.DA.05
Quartz,04.DA.05
Fluorine,
Fluorite,
Fluorine,
Fluorine,
Fluorine,
Fluorite,
Fluorite,03.AB.25
Fluorite,
Fluorite,
Fluorite,03.AB.25
Barytine,
Barytine,
Barytine,
Barytine,
Barytine,
Pyrite,02.EB.05a
Tourmaline,
Calcite,05.AB.05
Almandin,
Quartz,04.DA.05
Gypse,
Calcédoine,
Quartz,04.DA.05
Quartz,04.DA.05
Kyanite Disthène,
Apatite,08.BN.05
Célestine,07.AD.35
Epidote,09.BG.05a
Célestine,07.AD.35
Célestine,07.AD.35
Célestine,07.AD.35
Goethite,04.FD.10
Marcasite,02.EB.10a
Quartz,04.DA.05
Pyrite,02.EB.05a
Pyrophyllite,09.EC.10
Marcasite,02.EB.10a
Phlogopite,09.EC.20
Danburite,09.FA.65
Tincalconite,06.DA.15
Hornblende (Byssolite),
Célestine,07.AD.35
Gypse,
Mimétite,08.BN.05
Calcite,05.AB.05
Goethite,04.FD.10
Enargite,02.KA.05
Quartz,04.DA.05
Posnjakite,07.DD.10
Quartz,04.DA.05
Vanadinite,08.BN.05
Quartz,04.DA.05
Quartz,04.DA.05
Hémimorphite,09.BD.10
Pyrite,02.EB.05a
Azurite,05.BA.05
Sphalérite,02.CB.05a
Variscite,08.CD.10
Molybdénite,02.EA.30
Quartz,04.DA.05
Sidérite,05.AB.05
Annabergite,08.CE.40
Sphalérite,02.CB.05a
Gypse,
Quartz,04.DA.05
Barytine,
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite recouvert de Quartz,
Barytine,
Fluorite,03.AB.25
Fluorite,03.AB.25
Gypse,
Quartz,04.DA.05
Pyrite,02.EB.05a
Quartz,04.DA.05
Hémimorphite,09.BD.10
Tourmaline,
Erythrite,08.CE.40
Calcite,05.AB.05
Pyrite,02.EB.05a
Weloganite,05.CC.05
Artinite,05.DA.10
Staurotide,
Pyromorphite Polysphérite,
Wulfénite,07.GA.05
Spinelle,
Barytine,
Aragonite,05.AB.15
Hématite,04.CB.05
Albite,09.FA.35
Tourmaline,
Manganite,04.FD.15
Smithsonite,05.AB.05
Rhodochrosite,05.AB.05
Wolframite,04.DB.30
Grossulaire,
Siderite,05.AB.05
Phlogopite,09.EC.20
Wulfénite,07.GA.05
Cérusite,
Epidote,09.BG.05a
Quartz,04.DA.05
Aragonite,05.AB.15
Pyrite,02.EB.05a
Jamesonite,02.HB.15
Neptunite,09.EH.05
Topaze,
Enargite,02.KA.05
Barytine,
Tétraèdrite,
Pyrrhotine,
Calcite,05.AB.05
Erythrite,08.CE.40
Scheelite,07.GA.05
Almandin,
Cérusite,
