catalog_number,is_part_of,material_category,cataloged_name,authoritative_name,country_name,first_order_division
,27015,Ore,,"Mn-Erz, silikatisch - metamorph",,
42503,,,Topas,Topas,Deutschland,Sachsen
,42503,Mineral,,Topas,,
,42503,Rock,,Granit,,
,42503,Ore,,"Sn-Erz, oxidisch - Gang-Typ Greisen",,
41089,,,Siderit,Siderit,Deutschland,Baden-Württemberg
,41089,Mineral,,Siderit,,
,41089,Mineral,,Goethit,,
,41089,Rock,,Konkretionen,,
34822,,,Anatas,Anatas,Schweiz,Uri
,34822,Rock,,Granit,,
,34822,Mineral,,Muskovit,,
,34822,Mineral,,Anatas,,
,34822,Mineral,,Chlorit,,
38105,,,Gips,Gips,Schweiz,Bern
,38105,Rock,,Gips,,
,38105,Mineral,,Gips,,
39619,,,Calcit,Calcit,Schweiz,Freiburg
,39619,Rock,,Kalktuff,,
,39619,Mineral,,Calcit,,
41674,,,Chromit,Chromit,Südafrika,Limpopo
,41674,Ore,,Cr-Erz - kontinental mafisch-magmatisch,,
,41674,Rock,,Anorthosit,,
,41674,Mineral,,Chromit,,
42311,,Rock,Kalkschiefer,,Schweiz,Graubünden
,42311,Mineral,,Calcit,,
,42311,Mineral,,Muskovit,,
,42311,Mineral,,Quarz,,
,42311,Rock,,Kalkschiefer,,
,42311,Mineral,,Chlorit,,
,42311,Mineral,,Sericit,,
42919,,,Olivin,Olivin,Südafrika,Northern Cape / Noord-Kaap / Mntla-Koloni / Nyakatho-Kapa
,42919,Mineral,,Chromdiopsid Enstatit,,
,42919,Mineral,,Diopsid,,
,42919,Mineral,,Olivin,,
,42919,Mineral,,Olivin allgemein Diopsid,,
,42919,Rock,,Lherzolith (plutonisch),,
,42919,Mineral,,Granat,,
11490,,,Bornit,Bornit,Schweiz,Glarus
,11490,Ore,,Cu-Sulfid-Erz - Redbed-Typ,,
,11490,Mineral,,Bornit,,
43146,,,Chabasit-Ca,Chabasit-Ca,Ungarn,
,43146,Rock,,Dacit,,
,43146,Mineral,,Chabasit-Ca,,
,43146,Mineral,,Stilbit-Ca,,
38741,,Rock,SiO2-zementierte tektonische Brekzie,,Schweiz,Bern
,38741,Rock,,SiO2-zementierte tektonische Brekzie,,
,38741,Mineral,,Quarz,,
,38741,Mineral,,Chalcedon/Chert,,
40438,,,Pyrit,Pyrit,Vereinigte Staaten von Amerika (USA),Missouri
,40438,Mineral,,Pyrit,,
,40438,Ore,,Cu-Sulfid-Erz - MVT,,
,40438,Mineral,,Chalkopyrit,,
41189,,Ore,Pb-Zn-Cu-Sulfid-Erz - Gang-Typ,Pb-Zn-Cu-Sulfid-Erz - Gang-Typ,Peru,
,41189,Mineral,,Pyrit,,
,41189,Mineral,,Calcit,,
,41189,Mineral,,Sphalerit,,
,41189,Ore,,Pb-Zn-Cu-Sulfid-Erz - Gang-Typ,,
,41189,Mineral,,Quarz,,
35058,,,Calcit,Calcit,Schweden,Jämtlands län (Jamtlands)
,35058,Mineral,,Chlorit,,
,35058,Mineral,,Illit Quarz,,
,35058,Rock,,Kalkstein,,
,35058,Mineral,,Hämatit,,
,35058,Mineral,,Calcit,,
,35058,Mineral,,Muskovit,,
32610,,Ore,Cu-Sulfid-Erz - Gang-Typ,,Schweiz,Wallis
,32610,Mineral,,Pyrit,,
,32610,Mineral,,Fahlerz,,
,32610,Mineral,,Chalkopyrit,,
,32610,Ore,,Cu-Sulfid-Erz - Gang-Typ,,
40456,,,Galenit,Galenit,_Land unbekannt,
,40456,Mineral,,Galenit,,
,40456,Ore,,noch nicht angegeben,,
,40456,Mineral,,Sphalerit,,
41019,,,Chalkosin,Chalkosin,Vereinigte Staaten von Amerika (USA),Missouri
,41019,Ore,,Cu-Sulfid-Erz - MVT,,
,41019,Mineral,,Chalkosin,,
41500,,,Horobetsuit,Horobetsuit,Japan,Hokkaido / Hokkaidô
,41500,Ore,,Bi-Sb-S-Erz - Horobetsu-Typ,,
,41500,Mineral,,Schwefel,,
,41500,Mineral,,Horobetsuit,,
40007,,Rock,Schockmetamorpher Quarzsand,,Saudi-Arabien,
,40007,Rock,,Schockmetamorpher Quarzsand,,
,40007,Mineral,,Quarz,,
,40007,Mineral,,Coesit,,
41820,,,Diopsid,Diopsid,Rumänien,
,41820,Mineral,,Diopsid,,
