"name","name_type","name_subtype","variety_of_name"
Cs-rich Lepidolite,Variety,,Lepidolite
Ctypéite,Variety,,Aragonite
Cu-rich lyonsite,Variety,,Lyonsite
Cubosilicite,Variety,,Chalcedony
Cupro-Allophane,Variety,,Allophane
Cupro-iodargyrite,Variety,,Marshite
Cuproapatite,Variety,,Fluorapatite
Cuproarquerite,Variety,,Native Amalgam
Cuproasbolane,Variety,,Asbolane
Cuprobinnite,Variety,,Tennantite Subgroup
Cuprocannizzarite,Variety,,Cannizzarite
Cuprofaustite,Variety,,Faustite
Cuprogoslarite,Variety,,Goslarite
Cuprokirovite,Variety,,Melanterite
Cuprolillianite,Variety,,Lillianite
Cupromatildite,Variety,,Matildite
Cuprozippeite,Variety,,Zippeite
Cyanochalcite,Variety,,Chrysocolla
Cymophane,Variety,,Chrysoberyl
Cyrtolite,Variety,,Zircon
Dallasite,Variety,,Jasper
Damourite,Variety,,Muscovite
Damsonite,Variety,,Chalcedony
Danaite,Variety,,Arsenopyrite
Daphnite,Variety,,Chamosite
Darlingite,Variety,,Jasper
Debaoite,Variety,,Parnauite
Dechenite,Variety,,Descloizite
Degeroite,Variety,,Hisingerite
Delanovite,Variety,,Montmorillonite
Delatynite,Variety,,Amber
Delawarite,Variety,,Orthoclase
Demantoid,Variety,,Andradite
Dendritic Agate,Variety,,Chalcedony
Dhanrasite,Variety,,Almandine
Diabantite,Variety,,Clinochlore
Diackethyst,Variety,,Chalcedony
Diallage,Variety,,Diopside
Dillnite,Variety,,Zunyite
Dog-tooth Spar,Variety,,Calcite
Dokuchaevite (of Sumin),Variety,,Delafossite
Dolomitic Calcite,Variety,,Calcite
Dotsero Diamond,Variety,,Quartz
Dough tin,Variety,,Cassiterite
Dragonite,Variety,,Quartz
Dry Bone Ore,Variety,,Smithsonite
Ducktownite,Variety,,Chalcocite
Duftite-β,Variety,,Duftite
Duhamelite,Variety,,Mottramite
Duxite,Variety,,Amber
Dysanalyte,Variety,,Perovskite
Dyssnite,Variety,,Rhodonite
Eastonite (of Hamilton),Variety,,Vermiculite
Eastonite (of Winchell),Variety,,Biotite
Edelfarse,Variety,,Wollastonite
Edisonite,Variety,,Rutile
Egyptian Jasper,Variety,,Jasper
Ehrenwerthite,Variety,,Goethite
Eisenkiesel,Variety,,Quartz
Ekmanite,Variety,,Stilpnomelane
El Doradoite,Variety,,Quartz
Elaeolite,Variety,,Nepheline
Elbrussite,Variety,,Clay minerals
Electrum,Variety,,Gold
Eleolite,Variety,,Nepheline
Elkerite,Variety,,Pyrobitumen
Ema egg,Variety,,Quartz
Emerald,Variety,,Beryl
Emildine,Variety,,Spessartine
Emmonite,Variety,,Strontianite
